timestamp,demand_mw,irradiance_w_m2,ambient_temperature_c,wind_speed_m_s
2026-01-01T00:00:00Z,78,0,9,7.0
2026-01-01T01:00:00Z,74,0,8,6.8
2026-01-01T02:00:00Z,72,0,8,6.5
2026-01-01T03:00:00Z,71,0,7,6.4
2026-01-01T04:00:00Z,73,0,7,6.2
2026-01-01T05:00:00Z,82,0,8,6.0
2026-01-01T06:00:00Z,96,40,9,5.8
2026-01-01T07:00:00Z,108,160,10,5.6
2026-01-01T08:00:00Z,116,360,12,5.8
2026-01-01T09:00:00Z,120,560,14,6.4
2026-01-01T10:00:00Z,118,760,16,7.2
2026-01-01T11:00:00Z,112,880,18,8.0
2026-01-01T12:00:00Z,108,920,20,8.4
2026-01-01T13:00:00Z,106,840,21,8.2
2026-01-01T14:00:00Z,110,650,20,7.6
2026-01-01T15:00:00Z,116,420,18,7.0
2026-01-01T16:00:00Z,128,180,16,6.6
2026-01-01T17:00:00Z,138,30,14,6.4
2026-01-01T18:00:00Z,142,0,12,6.8
2026-01-01T19:00:00Z,136,0,11,7.6
2026-01-01T20:00:00Z,126,0,10,8.4
2026-01-01T21:00:00Z,112,0,10,8.8
2026-01-01T22:00:00Z,96,0,9,8.2
2026-01-01T23:00:00Z,84,0,9,7.4

